repo_name,date,stars,forks,stars_gained,forks_gained
drawdb,2025-03-28T00:36:55.093Z,26256,1858,0,0
drawdb,2025-03-29T00:36:38.430Z,26271,1857,15,-1
drawdb,2025-03-30T00:40:34.951Z,26288,1858,17,1
drawdb,2025-03-31T00:39:53.885Z,26299,1856,11,-2
drawdb,2025-04-01T00:42:53.354Z,26315,1856,16,0
drawdb,2025-04-02T00:37:45.894Z,26327,1858,12,2
drawdb,2025-04-03T00:37:01.062Z,26338,1859,11,1
drawdb,2025-04-04T00:37:00.312Z,26345,1861,7,2
drawdb,2025-04-05T00:36:24.748Z,26349,1863,4,2
drawdb,2025-04-06T00:40:24.981Z,26374,1864,25,1
drawdb,2025-04-07T00:38:58.128Z,26387,1864,13,0
drawdb,2025-04-08T00:37:04.673Z,26400,1868,13,4
drawdb,2025-04-09T00:37:26.255Z,26416,1868,16,0
drawdb,2025-04-10T00:37:18.624Z,26660,1877,244,9
drawdb,2025-04-11T00:37:53.675Z,26714,1881,54,4
drawdb,2025-04-12T00:36:56.493Z,26755,1883,41,2
drawdb,2025-04-13T02:04:33.597Z,26786,1887,31,4
drawdb,2025-04-14T00:40:40.543Z,26799,1889,13,2
drawdb,2025-04-15T00:38:46.195Z,26880,1892,81,3
drawdb,2025-04-16T00:38:41.478Z,26946,1900,66,8
drawdb,2025-04-17T00:37:55.339Z,26978,1903,32,3
drawdb,2025-04-18T00:37:34.074Z,27003,1905,25,2
drawdb,2025-04-19T00:36:09.879Z,27018,1905,15,0
drawdb,2025-04-20T00:41:40.020Z,27057,1905,39,0
drawdb,2025-04-21T00:40:41.547Z,27118,1914,61,9
drawdb,2025-04-22T00:38:17.044Z,27304,1937,186,23
